"Dam Name","Other Names","Former Names","NID ID","Other Structure ID","Federal ID","Owner Names","Owner Types","Primary Owner Type","State or Federal Agency ID","Number of Associated Structures","Designer Names","Non-Federal Dam on Federal Property","State Regulated Dam","State Jurisdictional Dam","State Regulatory Agency","State Permitting Authority","State Inspection Authority","State Enforcement Authority","Source Agency","Latitude","Longitude","County","State","City","Distance to Nearest City (Miles)","River or Stream Name","Congressional Representative District","Congressional Representative","Section, Township, or Range Location","Federal Agency Owners","Federal Agency Involvement Funding","Federal Agency Involvement Design","Federal Agency Involvement Construction","Federal Agency Involvement Regulatory","Federal Agency Involvement Inspection","Federal Agency Involvement Operation","Federal Agency Involvement Other","Primary Purpose","Purposes","Primary Dam Type","Dam Types","Core Types","Foundation","Dam Height (Ft)","Hydraulic Height (Ft)","Structural Height (Ft)","NID Height (Ft)","NID Height Category","Dam Length (Ft)","Volume (Cubic Yards)","Year Completed","Year Completed Category","NID Storage (Acre-Ft)","Max Storage (Acre-Ft)","Normal Storage (Acre-Ft)","Surface Area (Acres)","Drainage Area (Sq Miles)","Max Discharge (Cubic Ft/Second)","Spillway Type","Spillway Width (Ft)","Number of Locks","Length of Locks","Lock Width (Ft)","Years Modified","Outlet Gate Type","Data Last Updated","Last Inspection Date","Inspection Frequency","Hazard Potential Classification","Condition Assessment","Condition Assessment Date","EAP Prepared","EAP Last Revision Date","Website URL"
"Horse Spring Coulee Dam","","","WA00443","","WA00443","WA DNR DIVISION OF LANDS & MINERALS","State","State","OK49-0443","0","WA ST. DEPT. OF CONSERV. & DEV.","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","48.786899","-119.564103","Okanogan","Washington","RIVERSIDE","25","HORSE SPRINGS COULEE","Congressional District 04, Washington","Dan Newhouse (R)","S16 T38 R26E","","","","","","","","","Irrigation","Irrigation","Earth","Earth","Earth","Soil","67","67","67","67","51-100 feet","650","0","1924","1920-1929","7000","7000","0","","2.5","","","0","0","0","0","","","2021-04-09","","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Failor Lake Dam","","","WA00111","","WA00111","WA DFW","State","State","GH22-0111","0","WA STATE GAME DEPT.","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","47.107194","-123.965758","Grays Harbor","Washington","NONE","0","DEEP CREEK","Congressional District 06, Washington","Derek Kilmer (D)","S30 T19 R10W","","","","","","","","","Recreation","Recreation","Earth","Earth","Earth","Soil","30","30","32","32","25-50 feet","250","0","1956","1950-1959","454","454","394","65","4.89","66","","0","0","0","0","","","2021-04-09","2001-07-08","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Blue Lake Dam_Okanogan Co.","","","WA00325","","WA00325","WA DFW","State","State","OK49-0325","0","WA DEPT. OF CONSERVATION-DIV. OF RECL.","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","48.692138","-119.690437","Okanogan","Washington","LOOMIS","9","TR-SINLAHEKIN CREEK","Congressional District 04, Washington","Dan Newhouse (R)","S22 T37 R25E","","","","","","","","","Recreation","Recreation","Rockfill","Rockfill;Earth","Earth","Soil","10","10","32","32","25-50 feet","1500","0","1923","1920-1929","4416","4416","4416","160","10.200000000000001","","","0","0","0","0","","","2021-04-09","","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Ringold Pond Dam","","","WA00219","","WA00219","WA DFW","State","State","FR36-0219","0","WA STATE FISHERIES DEPT.","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","46.512429","-119.26065","Franklin","Washington","NONE","0","TR-COLUMBIA RIVER","Congressional District 04, Washington","Dan Newhouse (R)","S23 T12 R28E","","","","","","","","","Fish and Wildlife Pond","Fish and Wildlife Pond","Earth","Earth","Earth","Soil","10","10","10","10","Less than 25 feet","2550","0","1962","1960-1969","60","60","60","14","0.4","","","0","0","0","0","","","2021-04-09","","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Shoecraft Lake Outlet","","","WA00442","","WA00442","WA DFW","State","State","SN07-0442","0","WA DEPT. OF GAME","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","48.126228999999995","-122.306844","Snohomish","Washington","TULALIP","5","TULALIP CREEK","Congressional District 02, Washington","Rick Larsen (D)","S33 T31 R4E","","","","","","","","","Recreation","Recreation","Earth","Earth","Earth","Soil","7","7","10","10","Less than 25 feet","74","0","1952","1950-1959","830","830","630","130","6.0200000000000005","","","0","0","0","0","","","2021-04-09","1998-05-07","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Melbourne Lake Dam","","","WA00245","","WA00245","WA DNR","State","State","MA16-0245","0","WA STATE FISHERIES DEPT.","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","47.498146999999996","-123.122935","Mason","Washington","NONE","0","TR-EAGLE CREEK","Congressional District 06, Washington","Derek Kilmer (D)","S7 T23 R3W","","","","","","","","","Fish and Wildlife Pond","Fish and Wildlife Pond;Recreation","Earth","Earth","Earth","Soil","9","9","9","9","Less than 25 feet","100","0","1957","1950-1959","238","238","136","35","2.17","","","0","0","0","0","","","2021-04-09","1998-05-07","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Rainbow Lake Dam","","","WA00319","","WA00319","WA DFW","State","State","CA35-0319","0","WA STATE GAME DEPT.","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","46.3147","-117.660751","Columbia","Washington","NONE","0","TUCANNON RIVER-OFFSTREAM","Congressional District 05, Washington","Cathy McMorris Rodgers (R)","S27 T10 R41E","","","","","","","","","Recreation","Recreation","Gravity","Earth;Gravity","Earth","Soil","12","12","14","14","Less than 25 feet","1700","0","1955","1950-1959","70","70","50","10","0.2","","","0","0","0","0","","","2021-04-09","1998-05-15","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Schallow Lake Dam","","","WA00052","","WA00052","WA DFW","State","State","OK49-0052","0","WA ST. GAME DEPT.","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","48.599320999999996","-119.677005","Okanogan","Washington","NONE","0","COULEE CREEK","Congressional District 04, Washington","Dan Newhouse (R)","S22 T36 R25E","","","","","","","","","Recreation","Recreation","Earth","Earth","Earth","Soil","11","11","13","13","Less than 25 feet","330","0","1954","1950-1959","76","76","46","10","13","142","","0","0","0","0","","","2021-04-09","1998-06-05","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Ringold Springs Fish Pond","","","WA00252","","WA00252","WA DFW","State","State","FR36-0252","0","WA STATE GAME DEPT.","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","46.507656","-119.257067","Franklin","Washington","NONE","0","TR-COLUMBIA RIVER","Congressional District 04, Washington","Dan Newhouse (R)","S24 T12 R28E","","","","","","","","","Fish and Wildlife Pond","Fish and Wildlife Pond","Earth","Earth","Earth","Soil","9","9","12","12","Less than 25 feet","1960","0","1961","1960-1969","55","55","44","14","0.3","","","0","0","0","0","","","2021-04-09","","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Lenice Dam","","","WA00375","","WA00375","WA DFW","State","State","GR41-0375","0","WA STATE GAME DEPT.","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","46.84347903","-119.8422796","Grant","Washington","BEVERLY","4","TR-LOWER CRAB CREEK","Congressional District 04, Washington","Dan Newhouse (R)","S29 T16 R24E","","","","","","","","","Recreation","Recreation","Rockfill","Rockfill;Earth","Earth","Soil","7","7","10","10","Less than 25 feet","100","0","1976","1970-1979","133","133","110","94","20.7","219","","0","0","0","0","","","2021-04-09","1998-06-05","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
