EXISTING_INFO_ID,PROGRAM_SITE_ID,SITE_TYPE,PROGRAM_NAME,BASIN_NAME,GSA_NAME,GSP_NAME,MONITORING_NETWORK_TYPE,SUSTAINABILITY_INDICATORS,PRINCIPAL_AQUIFER,URL_SITE,LOCATION_DESCRIPTION,ADDITIONAL_COMMENTS,COUNTY,CREATED_DT,UPDATED_DT
4,NEW,Stream Gage,California Data Exchange Center,5-022.07 Delta-Mendota,Northwestern Delta-Mendota GSA,DM_NorthCentral_Adopted,SGMA Representative,Interconnected Surface Waters,,https://cdec.water.ca.gov/dynamicapp/QueryF?s=NEW,San Joaquin River near Newman,DMS ID 06-002-ISW,Merced,01/03/2020 14:28,11/10/2021 13:47
31,DWR at Gravelly Ford Canal,Surveying/Benchmark Sites,SJRRP,5-022.07 Delta-Mendota,Aliso Water District GSA,Aliso WD GSA,SGMA Representative,Land Subsidence,,http://www.restoresjr.net/science/subsidence-monitoring/,DWR at Gravelly Ford Canal,,Madera,01/17/2020 15:07,01/17/2020 15:07
37,"122",Surveying/Benchmark Sites,San Joaquin River Restoration Program,5-022.07 Delta-Mendota,Merced Irrigation-Urban GSA,,SGMA,"Land Subsidence,Land Subsidence",,http://www.restoresjr.net/science/subsidence-monitoring/,,,Fresno,01/19/2020 16:19,01/19/2020 16:19
46,"129",Surveying/Benchmark Sites,San Joaquin River Restoration Program,5-022.07 Delta-Mendota,Merced Irrigation-Urban GSA,,SGMA,"Land Subsidence,Land Subsidence",,http://www.restoresjr.net/science/subsidence-monitoring/,,,Fresno,01/19/2020 16:19,01/19/2020 16:19
54,"63",Surveying/Benchmark Sites,San Joaquin River Restoration Program,5-022.09 Westside,Merced Irrigation-Urban GSA,,SGMA,"Land Subsidence,Land Subsidence",,http://www.restoresjr.net/science/subsidence-monitoring/,,,Fresno,01/19/2020 16:19,01/19/2020 16:19
70,"104",Surveying/Benchmark Sites,San Joaquin River Restoration Program,5-022.07 Delta-Mendota,Merced Irrigation-Urban GSA,,SGMA,"Land Subsidence,Land Subsidence",,http://www.restoresjr.net/science/subsidence-monitoring/,,,Madera,01/19/2020 16:19,01/19/2020 16:19
76,"150",Surveying/Benchmark Sites,San Joaquin River Restoration Program,5-022.07 Delta-Mendota,Merced Irrigation-Urban GSA,,SGMA,"Land Subsidence,Land Subsidence",,http://www.restoresjr.net/science/subsidence-monitoring/,,,Stanislaus,01/19/2020 16:19,01/19/2020 16:19
80,1007R,Surveying/Benchmark Sites,San Joaquin River Restoration Program,5-022.06 Madera,Merced Irrigation-Urban GSA,,SGMA,"Land Subsidence,Land Subsidence",,http://www.restoresjr.net/science/subsidence-monitoring/,,,Madera,01/19/2020 16:19,01/19/2020 16:19
89,"152",Surveying/Benchmark Sites,San Joaquin River Restoration Program,5-022.07 Delta-Mendota,Merced Irrigation-Urban GSA,,SGMA,"Land Subsidence,Land Subsidence",,http://www.restoresjr.net/science/subsidence-monitoring/,,,Merced,01/19/2020 16:19,01/19/2020 16:19
94,"127",Surveying/Benchmark Sites,San Joaquin River Restoration Program,5-022.06 Madera,Merced Irrigation-Urban GSA,,SGMA,"Land Subsidence,Land Subsidence",,http://www.restoresjr.net/science/subsidence-monitoring/,,,Madera,01/19/2020 16:19,01/19/2020 16:19
