provider_id,nhdpv2_COMID,nhdpv2_REACHCODE,nhdpv2_REACH_measure,Type_HUC12,Type_Gages,Type_TE,Type_NID,Type_WBIn,Type_WBOut,Type_Conf,Dam Name,Other Names,Former Names,Other Structure ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,State or Federal Agency ID,Number of Associated Structures,Designer Names,Non-Federal Dam on Federal Property,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Source Agency,Latitude,Longitude,County,State,City,Distance to Nearest City (Miles),River or Stream Name,Congressional Representative District,Congressional Representative,"Section, Township, or Range Location",Federal Agency Owners,Federal Agency Involvement Funding,Federal Agency Involvement Design,Federal Agency Involvement Construction,Federal Agency Involvement Regulatory,Federal Agency Involvement Inspection,Federal Agency Involvement Operation,Federal Agency Involvement Other,Primary Purpose,Purposes,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Number of Locks,Length of Locks,Lock Width (Ft),Years Modified,Outlet Gate Type,Data Last Updated,Last Inspection Date,Inspection Frequency,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,EAP Prepared,EAP Last Revision Date,Website URL
26,720078,01010002001002,0,010100020204,NA,NA,ME00237,NA,NA,NA,Churchill,Churchill,Heron Lake,NA,ME00237,"BPL, DOC/State of Maine (Allagash Wilderness Waterway)",State,State,641.0,0,NA,NA,Yes,Yes,MEMA,Yes,Yes,Yes,Maine,46.49333333,-69.28833333,Piscataquis,Maine,T11 R13,NA,Allagash River,"Congressional District 02, Maine",Jared F. Golden (D),NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydroelectric,Recreation;Hydroelectric,Concrete,Earth;Gravity;Timber Crib;Concrete,NA,NA,20,14,20,20,Less than 25 feet,470,NA,1968,1960-1969,99000,99000,78000,10016,0,NA,NA,72,NA,NA,NA,NA,NA,2021-04-02,2014-08-05,12,Low,Not Rated,2014-08-05,Not Required,NA,https://damsafety.org/maine
48,805079,01010004000009,0,010100041009,NA,NA,ME00227,NA,NA,2241625,Caribou,NA,NA,NA,ME00227,Algonquin Northern Maine Gen Co.,Private,Private,02367-01-01,1,NA,NA,No,No,NA,No,No,No,Federal Energy Regulatory Commission,46.8489,-68.00150000000001,Aroostook,Maine,Caribou,0,Aroostook River,"Congressional District 02, Maine",Jared F. Golden (D),NA,NA,NA,NA,NA,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,NA,NA,Hydroelectric,"Hydroelectric;Water Supply;Fire Protection, Stock, Or Small Fish Pond",Timber Crib,Rockfill;Timber Crib;Concrete,Unlisted/Unknown;Unlisted/Unknown,Rock,24,NA,NA,24,Less than 25 feet,502,NA,1889,Before 1900,1821,1821,1821,162,1943,63000,Uncontrolled,451,NA,NA,NA,NA,NA,2021-06-14,2018-09-25,3,Low,Not Available,NA,Not Required,2010-01-04,https://damsafety.org/maine
73,811531,01010004000561,0.92457,010100041008,NA,NA,ME00350,NA,NA,NA,North Vassalboro,North Vassalboro,Ladd Dam,NA,ME00350,Raymond Breton,Private,Private,398.0,0,NA,NA,Yes,Yes,MEMA,Yes,Yes,Yes,Maine,44.484392,-69.622996,Kennebec,Maine,NA,NA,China Lake Outlet,"Congressional District 01, Maine",Chellie Pingree (D),NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fire Protection, Stock, Or Small Fish Pond","Flood Risk Reduction;Fire Protection, Stock, Or Small Fish Pond",Concrete,Earth;Gravity;Timber Crib;Concrete,Earth;Unlisted/Unknown,NA,15,11,15,15,Less than 25 feet,150,NA,1900,1900-1909,260,260,220,45,43,NA,NA,85,NA,NA,NA,1995,NA,2021-04-02,2019-07-24,12,Low,Not Rated,NA,Not Required,NA,https://damsafety.org/maine
73,811531,01010004000561,0.92457,010100041008,NA,NA,ME00479,NA,NA,NA,State Street,State Street,Presque Isle,NA,ME00479,Presque Isle,Local Government,Local Government,406.0,0,NA,NA,Yes,Yes,MEMA,Yes,Yes,Yes,Maine,46.681657,-68.01735099999999,Aroostook,Maine,NA,NA,Presque Isle,"Congressional District 02, Maine",Jared F. Golden (D),NA,NA,NA,NA,NA,NA,NA,NA,NA,Recreation,"Recreation;Water Supply;Fire Protection, Stock, Or Small Fish Pond",Timber Crib,Stone;Rockfill;Earth;Gravity;Timber Crib,NA,NA,20.5,11,20.5,20.5,Less than 25 feet,125,NA,1928,1920-1929,55,55,45,12,0,NA,NA,109,NA,NA,NA,1994,NA,2021-04-02,NA,12,Low,Not Rated,NA,Not Required,NA,https://damsafety.org/maine
189,1699108,01020001002199,0,010200010104,NA,NA,ME00213,NA,NA,NA,Dole Pond,NA,NA,NA,ME00213,NA,Not Listed,Not Listed,02634-09-01,1,NA,NA,No,No,NA,No,No,No,Federal Energy Regulatory Commission,46.0112,-70.1935,Somerset,Maine,NA,NA,Dole Brook,"Congressional District 02, Maine",Jared F. Golden (D),NA,NA,NA,NA,NA,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,NA,NA,Hydroelectric,Fish and Wildlife Pond;Hydroelectric,NA,Earth;Gravity;Concrete,Concrete,Rock,18.8,NA,NA,18.8,Less than 25 feet,947,NA,1930,1930-1939,3857,3857,3857,371,43,0,None,0,NA,NA,NA,NA,Slide (sluice gate),2021-06-14,2018-07-12,3,Low,Not Available,NA,Not Required,2018-12-27,https://damsafety.org/maine
196,1702358,01020001002378,0,010200010507,NA,NA,ME00208,NA,NA,NA,Harrington Lake,NA,NA,NA,ME00208,NA,Not Listed,Not Listed,02634-06-01,1,NA,NA,No,No,NA,No,No,No,Federal Energy Regulatory Commission,45.9478,-69.1922,Piscataquis,Maine,NA,NA,Harrington Stream,"Congressional District 02, Maine",Jared F. Golden (D),NA,NA,NA,NA,NA,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,NA,NA,Hydroelectric,Fish and Wildlife Pond;Hydroelectric,NA,Earth;Gravity;Concrete,Concrete,Rock,16,NA,NA,16,Less than 25 feet,1905,NA,1930,1930-1939,7691,7691,7691,1178,40,0,None,0,NA,NA,NA,NA,Slide (sluice gate),2021-06-14,2018-07-12,3,Low,Not Available,NA,Not Required,2018-12-27,https://damsafety.org/maine
214,1711668,01020002001096,0,010200020205,NA,NA,ME00180,NA,1711354,NA,Grand Lake (Matagamon),Grand Lake,Mattagamon,NA,ME00180,Mattagamon Lake Association,Private,Private,45.0,0,NA,NA,Yes,Yes,MEMA,Yes,Yes,Yes,Maine,46.1411,-68.790438,Penobscot,Maine,NA,NA,Penobscot River,"Congressional District 02, Maine",Jared F. Golden (D),NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydroelectric,Hydroelectric;Other,Concrete,Gravity;Concrete,NA,NA,25,15,25,25,25-50 feet,218,NA,1941,1940-1949,45800,45800,41400,4200,485,NA,NA,40,NA,NA,NA,1959,NA,2021-04-02,2020-07-17,6,Significant,Poor,2020-07-17,Yes,2021-05-02,https://damsafety.org/maine
218,1712388,01020002001118,0,010200020106,NA,NA,ME00352,NA,1711958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,1712388,01020002001118,0,010200020106,NA,NA,ME00197,NA,1711958,NA,Telos,Telos,Chamberlain Lake,NA,ME00197,"BPL, DOC/State of Maine (Allagash Wilderness Waterway)",State,State,41.0,0,NA,NA,Yes,Yes,MEMA,Yes,Yes,Yes,Maine,46.14805556,-69.12666667,Piscataquis,Maine,NA,NA,Allagash Stream,"Congressional District 02, Maine",Jared F. Golden (D),NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydroelectric,Hydroelectric;Other,Timber Crib,Rockfill;Earth;Timber Crib,NA,NA,20,16,20,20,Less than 25 feet,240,NA,1890,Before 1900,105200,105200,10100,11200,0,NA,NA,90,NA,NA,NA,1990,NA,2021-04-02,2011-11-07,12,Low,Poor,2011-11-07,Not Required,NA,https://damsafety.org/maine
220,5635,01020003000014,0,010200030701,NA,NA,ME00382,NA,NA,NA,Village,Village,NA,NA,ME00382,Malletts Mill Inc,Private,Private,516.0,0,NA,NA,Yes,Yes,MEMA,Yes,Yes,Yes,Maine,45.359134999999995,-68.284474,Penobscot,Maine,NA,NA,Mattakeunk,"Congressional District 02, Maine",Jared F. Golden (D),NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydroelectric,Hydroelectric;Other,Concrete,Rockfill;Earth;Gravity;Timber Crib;Concrete,NA,NA,16,16,16,16,Less than 25 feet,200,NA,1826,Before 1900,108,108,72,62,8.5,NA,NA,27,NA,NA,NA,1975,NA,2021-04-02,NA,12,Low,Not Rated,2020-05-06,Not Required,NA,https://damsafety.org/maine
