fid,SourceAgency,SourceDataset,SourceFeatureURL,FeatureType,ReachCode,Measure,ReachSMDate,AddressDate,Catchment,HU,OnNetwork,HydroAddressID,GNIS_NAME,GNIS_ID,SnapTolerance,SnapDistance,InSnapTolerance,QCTolerance,InQCTolerance,QCApproved,NHDPv2ReachCode,NHDPv2Measure,Latitude,Longitude,uri,SourceID,state,huc8,reachcode_nhdpv2
1,NA,NA,NA,NA,01010002001452,64.87204415982373,2012-03-07T00:00:00Z,2022-03-01T01:26:08Z,0,,1,78f8fbec-d4e9-4e72-bcf9-32136d391bbb,Allagash River,NA,250,93.1321,1,250,1,1,01010002001002,0,46.49333333,-69.28833333,https://geoconnex.us/iow/demo/ME00237,ME00237,https://geoconnex.us/ref/states/23,https://geoconnex.us/ref/hu08/01010002,https://geoconnex.us/nhdplusv2/reachcode/01010002001002
2,NA,NA,NA,NA,01010004000009,28.082673915760665,2012-03-07T00:00:00Z,2022-03-01T01:26:08Z,0,,1,258ac38a-9b2d-4642-80b0-1de1a8be1a82,Aroostook River,NA,250,5.73634,1,250,1,1,01010004000009,0,46.8489,-68.0015,https://geoconnex.us/iow/demo/ME00227,ME00227,https://geoconnex.us/ref/states/23,https://geoconnex.us/ref/hu08/01010004,https://geoconnex.us/nhdplusv2/reachcode/01010004000009
3,NA,NA,NA,NA,01030003000057,21.349901208628555,2012-03-07T00:00:00Z,2022-03-01T01:26:09Z,0,,1,b98af245-46e2-4acc-a63f-03b4c6dd28b0,Outlet Stream,NA,250,12.4095,1,250,1,1,01010004000561,0.92457,44.484392,-69.622996,https://geoconnex.us/iow/demo/ME00350,ME00350,https://geoconnex.us/ref/states/23,https://geoconnex.us/ref/hu08/01030003,https://geoconnex.us/nhdplusv2/reachcode/01010004000561
4,NA,NA,NA,NA,01010004000561,45.107645733697574,2019-03-19T11:46:26Z,2022-03-01T01:26:10Z,0,,1,f70aedce-b36f-4506-bad7-9686eef967c3,Presque Isle Stream,NA,250,10.0293,1,250,1,1,01010004000561,0.92457,46.681657,-68.017351,https://geoconnex.us/iow/demo/ME00479,ME00479,https://geoconnex.us/ref/states/23,https://geoconnex.us/ref/hu08/01010004,https://geoconnex.us/nhdplusv2/reachcode/01010004000561
5,NA,NA,NA,NA,01020001000177,99.27739413451516,2012-03-07T00:00:00Z,2022-03-01T01:26:13Z,0,,1,a234e7dc-d93b-4dd0-92db-9a9853da8d6f,Dole Brook,NA,250,15.3099,1,250,1,1,01020001002199,0,46.0112,-70.1935,https://geoconnex.us/iow/demo/ME00213,ME00213,https://geoconnex.us/ref/states/23,https://geoconnex.us/ref/hu08/01020001,https://geoconnex.us/nhdplusv2/reachcode/01020001002199
6,NA,NA,NA,NA,01020001006926,5.4540854266793115,2019-03-08T08:36:44Z,2022-03-01T01:26:10Z,0,,1,438e8e40-d6af-4598-b92c-ff50a315a8b2,Duck Brook,NA,250,30.1216,1,250,1,1,01020001002378,0,45.9478,-69.1922,https://geoconnex.us/iow/demo/ME00208,ME00208,https://geoconnex.us/ref/states/23,https://geoconnex.us/ref/hu08/01020001,https://geoconnex.us/nhdplusv2/reachcode/01020001002378
7,NA,NA,NA,NA,01020002002293,0.5122040579266829,2012-03-07T00:00:00Z,2022-03-01T01:26:14Z,0,,1,8f17b672-b09d-445f-9fb8-bf9014d8f934,East Branch Penobscot River,NA,250,16.2516,1,250,1,1,01020002001096,0,46.1411,-68.790438,https://geoconnex.us/iow/demo/ME00180,ME00180,https://geoconnex.us/ref/states/23,https://geoconnex.us/ref/hu08/01020002,https://geoconnex.us/nhdplusv2/reachcode/01020002001096
8,NA,NA,NA,NA,01020002000121,90.27743400330398,2012-03-07T00:00:00Z,2022-03-01T01:26:12Z,0,,1,cdc894eb-cc8e-4459-b36a-d440ffbace44,NA,NA,250,5.80115,1,250,1,1,01020002001118,0,46.14805556,-69.12666667,https://geoconnex.us/iow/demo/ME00197,ME00197,https://geoconnex.us/ref/states/23,https://geoconnex.us/ref/hu08/01020002,https://geoconnex.us/nhdplusv2/reachcode/01020002001118
9,NA,NA,NA,NA,01020003002428,80.77594699900544,2012-03-07T00:00:00Z,2022-03-01T01:26:14Z,0,,1,d80ef8e4-9e84-456e-99c5-d1d4eac0050f,Mattakeunk Stream,NA,250,36.6357,1,250,1,1,01020003000014,0,45.359135,-68.284474,https://geoconnex.us/iow/demo/ME00382,ME00382,https://geoconnex.us/ref/states/23,https://geoconnex.us/ref/hu08/01020003,https://geoconnex.us/nhdplusv2/reachcode/01020003000014
10,NA,NA,NA,NA,01020004000001,2.7565080533840067,2012-03-07T00:00:00Z,2022-03-01T01:26:15Z,0,,1,c8e409b4-bcff-46ad-b533-3906d6c5e73a,Piscataquis River,NA,250,60.8764,1,250,1,1,01020004000001,3.75439,45.2394,-68.6575,https://geoconnex.us/iow/demo/ME00155,ME00155,https://geoconnex.us/ref/states/23,https://geoconnex.us/ref/hu08/01020004,https://geoconnex.us/nhdplusv2/reachcode/01020004000001
11,NA,NA,NA,NA,01020004000206,70.19997186061659,2012-03-07T00:00:00Z,2022-03-01T01:26:15Z,0,,1,7cb793fc-85ca-47be-9c2f-f8d104d226b2,Big Wilson Stream,NA,250,1.57327,1,250,1,1,01020004000206,0,45.452075,-69.532694,https://geoconnex.us/iow/demo/ME00604,ME00604,https://geoconnex.us/ref/states/23,https://geoconnex.us/ref/hu08/01020004,https://geoconnex.us/nhdplusv2/reachcode/01020004000206
12,NA,NA,NA,NA,01020004000243,2.2793325816022265,2012-03-07T00:00:00Z,2022-03-01T01:26:13Z,0,,1,500b9f5d-20a4-4ef8-a83a-33e15adc977d,Piscataquis River,NA,250,4.60062,1,250,1,1,01020004000243,0,45.1837,-69.23,https://geoconnex.us/iow/demo/ME00157,ME00157,https://geoconnex.us/ref/states/23,https://geoconnex.us/ref/hu08/01020004,https://geoconnex.us/nhdplusv2/reachcode/01020004000243
13,NA,NA,NA,NA,01020004000250,25.99967030414671,2012-03-07T00:00:00Z,2022-03-01T01:26:17Z,0,,1,90890031-d163-447c-a9c1-b8de3c9f26e2,Piscataquis River,NA,250,2.12966,1,250,1,1,01020004000250,0,45.168386,-69.385165,https://geoconnex.us/iow/demo/ME00158,ME00158,https://geoconnex.us/ref/states/23,https://geoconnex.us/ref/hu08/01020004,https://geoconnex.us/nhdplusv2/reachcode/01020004000250
14,NA,NA,NA,NA,01020005006958,100,2012-03-07T00:00:00Z,2022-03-01T01:26:13Z,0,,1,e5f28e31-89e4-47ef-81aa-8215f11b32c4,Narramissic River,NA,250,12.2587,1,250,1,1,01020005000004,63.20769,44.592142,-68.721345,https://geoconnex.us/iow/demo/ME00144,ME00144,https://geoconnex.us/ref/states/23,https://geoconnex.us/ref/hu08/01020005,https://geoconnex.us/nhdplusv2/reachcode/01020005000004
15,NA,NA,NA,NA,01020005000434,10.069791758874498,2015-09-21T10:26:26Z,2022-03-01T01:26:14Z,0,,1,2e86105b-abb2-49f7-8b33-d87004a356d8,Marsh Stream,NA,250,6.9349,1,250,1,1,01020005000434,0,44.609096,-68.873128,https://geoconnex.us/iow/demo/ME00149,ME00149,https://geoconnex.us/ref/states/23,https://geoconnex.us/ref/hu08/01020005,https://geoconnex.us/nhdplusv2/reachcode/01020005000434
16,NA,NA,NA,NA,01020005001742,8.897529472102228,2021-06-16T16:22:34Z,2022-03-01T01:26:15Z,0,,1,a6f01d40-8da6-4322-9d0b-ea239e6102a2,Stillwater River,NA,250,38.4692,1,250,1,1,01020005001742,2.97386,44.883277,-68.664883,https://geoconnex.us/iow/demo/ME00138,ME00138,https://geoconnex.us/ref/states/23,https://geoconnex.us/ref/hu08/01020005,https://geoconnex.us/nhdplusv2/reachcode/01020005001742
17,NA,NA,NA,NA,01030001002906,99.28762711687321,2012-03-07T00:00:00Z,2022-03-01T01:26:21Z,0,,1,2b4ff26e-f70b-4c94-b006-7cc9b17a35a4,Lazy Tom Stream,NA,250,1.80207,1,250,1,1,01030001000213,0,45.691504,-69.434125,https://geoconnex.us/iow/demo/ME00405,ME00405,https://geoconnex.us/ref/states/23,https://geoconnex.us/ref/hu08/01030001,https://geoconnex.us/nhdplusv2/reachcode/01030001000213
18,NA,NA,NA,NA,01030002000319,96.53076274024983,2012-03-07T00:00:00Z,2022-03-01T01:26:17Z,0,,1,7358443a-e2ef-48c4-9e9c-312e7aaf2e85,Dead River,NA,250,34.9528,1,250,1,1,01030002002649,0,45.2232,-70.2014,https://geoconnex.us/iow/demo/ME00127,ME00127,https://geoconnex.us/ref/states/23,https://geoconnex.us/ref/hu08/01030002,https://geoconnex.us/nhdplusv2/reachcode/01030002002649
19,NA,NA,NA,NA,01030002000085,84.362875,2014-12-16T14:14:50Z,2022-03-01T01:26:23Z,0,,1,28fa371a-f2f1-418e-b9e3-dcd3924728ab,North Branch Dead River,NA,250,61.9061,1,250,1,1,01030002002778,0,45.31333333,-70.62666667,https://geoconnex.us/iow/demo/ME00130,ME00130,https://geoconnex.us/ref/states/23,https://geoconnex.us/ref/hu08/01030002,https://geoconnex.us/nhdplusv2/reachcode/01030002002778
20,NA,NA,NA,NA,01030003000321,10.926326840238005,2012-03-07T00:00:00Z,2022-03-01T01:26:15Z,0,,1,6b515348-bb15-45c9-9d81-4b4a2d8f97f5,NA,NA,250,7.61317,1,250,1,1,01030003000321,0,44.84666667,-69.75916667,https://geoconnex.us/iow/demo/ME00118,ME00118,https://geoconnex.us/ref/states/23,https://geoconnex.us/ref/hu08/01030003,https://geoconnex.us/nhdplusv2/reachcode/01030003000321
21,NA,NA,NA,NA,01030003000323,6.477390448723462,2012-03-07T00:00:00Z,2022-03-01T01:26:26Z,0,,1,b376054f-d319-4254-b84b-5710eb658c3f,Kennebec River,NA,250,22.3872,1,250,1,1,01030003000323,0,44.7648,-69.7214,https://geoconnex.us/iow/demo/ME00085,ME00085,https://geoconnex.us/ref/states/23,https://geoconnex.us/ref/hu08/01030003,https://geoconnex.us/nhdplusv2/reachcode/01030003000323
22,NA,NA,NA,NA,01030003000326,25.61143714362518,2016-01-26T11:36:37Z,2022-03-01T01:26:26Z,0,,1,1b46ed40-8c15-47a4-b117-2b0a493a89a6,Kennebec River,NA,250,67.5671,1,250,1,1,01030003000326,4.88948,44.792882,-69.885975,https://geoconnex.us/iow/demo/ME00086,ME00086,https://geoconnex.us/ref/states/23,https://geoconnex.us/ref/hu08/01030003,https://geoconnex.us/nhdplusv2/reachcode/01030003000326
23,NA,NA,NA,NA,01030003000489,92.70277552839877,2012-03-07T00:00:00Z,2022-03-01T01:26:29Z,0,,1,e1afae8f-f2de-43fb-b3a3-d1c0d0398d99,Little Norridgewock Stream,NA,250,1.76733,1,250,1,1,01030003000489,0,44.551045,-70.086835,https://geoconnex.us/iow/demo/ME00122,ME00122,https://geoconnex.us/ref/states/23,https://geoconnex.us/ref/hu08/01030003,https://geoconnex.us/nhdplusv2/reachcode/01030003000489
24,NA,NA,NA,NA,01030003000537,24.293370317679493,2012-03-07T00:00:00Z,2022-03-01T01:26:16Z,0,,1,18d27513-9492-4a5d-aa6b-b8d9e728467a,Belgrade Stream,NA,250,18.812,1,250,1,1,01030003000537,0,44.432843,-69.901989,https://geoconnex.us/iow/demo/ME00468,ME00468,https://geoconnex.us/ref/states/23,https://geoconnex.us/ref/hu08/01030003,https://geoconnex.us/nhdplusv2/reachcode/01030003000537
25,NA,NA,NA,NA,01010004003723,98.80679479021859,2012-03-07T00:00:00Z,2022-03-01T01:26:21Z,0,,1,a3644d1f-560f-40fe-b4c5-68f081cc585a,NA,NA,250,1.14534,1,250,1,1,01030003000789,0,46.626254,-68.011404,https://geoconnex.us/iow/demo/ME00302,ME00302,https://geoconnex.us/ref/states/23,https://geoconnex.us/ref/hu08/01010004,https://geoconnex.us/nhdplusv2/reachcode/01030003000789
